State,County,Population,"Population Speaking Spanish at Home
(Age 5+)",Hispanic/Latino,White Alone,Black/African American Alone,American Indian/Alaskan Native Alone,Asian Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,"Household Income
<$25k","Household Income
$25k-$50k","Household Income
$50k-$75k","Household Income
$75k-$100k","Household Income
$100k-$150k","Household Income
$150k-$250k","Household Income
$250k+",Median Household Income,No High School Degree,High School Degree,Some College,Undergraduate Degree,Post-Graduate Degree
Illinois,Adams County,"65,000",3.2%,1.9%,92.0%,3.9%,0.2%,1.1%,0.0%,0.5%,2.2%,19.3%,22.8%,18.4%,14.5%,15.7%,6.0%,3.3%,"$60,739",6.9%,33.4%,23.1%,26.4%,10.1%
Illinois,Bureau County,"32,227",6.7%,10.3%,91.9%,0.9%,0.3%,1.0%,0.0%,4.0%,1.8%,17.3%,24.0%,18.4%,14.4%,16.8%,6.7%,2.4%,"$61,888",8.4%,38.4%,23.0%,24.0%,6.3%
Illinois,Carroll County,"14,160",3.4%,4.3%,95.3%,1.1%,0.4%,0.6%,0.0%,0.9%,1.7%,20.8%,26.1%,19.8%,14.2%,12.9%,5.1%,1.1%,"$53,937",8.5%,41.5%,22.2%,20.9%,6.9%
Illinois,Clay County,"13,085",3.1%,1.9%,96.2%,0.6%,0.2%,0.9%,0.0%,0.8%,1.2%,24.0%,23.8%,20.6%,11.8%,12.7%,6.2%,0.8%,"$52,627",10.0%,37.2%,25.0%,23.2%,4.5%
Illinois,De Witt County,"15,437",3.3%,3.3%,95.4%,0.9%,0.2%,0.4%,0.0%,1.4%,1.7%,17.1%,25.9%,21.3%,13.0%,14.3%,6.7%,1.8%,"$58,184",8.9%,36.9%,23.7%,25.4%,5.1%
Illinois,DeKalb County,"105,109",9.2%,12.1%,81.2%,8.3%,0.3%,2.8%,0.1%,4.7%,2.7%,18.2%,19.1%,17.6%,13.0%,17.2%,12.3%,2.6%,"$68,108",6.9%,23.4%,22.7%,34.0%,13.0%
Illinois,Edgar County,"16,944",2.8%,1.4%,97.2%,0.7%,0.2%,0.4%,0.0%,0.4%,1.1%,21.0%,23.9%,19.1%,14.7%,14.0%,6.0%,1.3%,"$56,577",10.8%,38.3%,21.5%,24.2%,5.2%
Illinois,Edwards County,"6,341",2.2%,2.0%,96.6%,0.6%,0.2%,0.4%,0.0%,0.7%,1.5%,20.8%,24.9%,20.2%,13.2%,14.2%,5.2%,1.4%,"$55,275",8.5%,35.0%,22.9%,29.6%,4.0%
Illinois,Effingham County,"33,912",3.2%,2.5%,96.1%,0.6%,0.2%,0.9%,0.0%,1.1%,1.1%,17.0%,22.3%,18.9%,13.5%,16.5%,8.8%,2.9%,"$64,120",7.4%,36.4%,20.2%,29.4%,6.7%
Illinois,Fulton County,"33,790",4.0%,3.5%,91.9%,3.9%,0.4%,0.3%,0.0%,2.3%,1.1%,22.5%,24.1%,20.3%,13.3%,12.8%,5.4%,1.6%,"$54,198",12.0%,34.6%,25.2%,22.7%,5.6%
Illinois,Hancock County,"17,485",1.7%,1.9%,96.5%,0.7%,0.4%,0.5%,0.1%,0.5%,1.3%,20.5%,24.8%,20.9%,15.0%,12.3%,4.5%,2.0%,"$55,608",6.8%,38.1%,20.9%,27.7%,6.5%
Illinois,Henderson County,"6,538",2.3%,2.4%,97.0%,0.4%,0.3%,0.5%,0.1%,0.3%,1.4%,16.3%,27.7%,22.6%,14.5%,14.0%,3.9%,1.0%,"$56,645",9.9%,43.5%,21.5%,21.2%,3.9%
Illinois,Kendall County,"131,157",15.2%,21.1%,78.8%,7.9%,0.4%,3.1%,0.1%,6.8%,3.0%,7.1%,12.0%,15.8%,19.3%,24.4%,15.3%,6.0%,"$94,558",7.7%,24.6%,23.1%,30.9%,13.6%
Illinois,Knox County,"49,091",4.1%,6.4%,84.6%,8.2%,0.3%,1.1%,0.0%,2.5%,3.2%,26.1%,26.6%,18.0%,11.9%,11.5%,4.6%,1.3%,"$47,428",11.2%,36.2%,23.7%,22.4%,6.5%
Illinois,Lawrence County,"15,428",5.0%,4.3%,85.6%,10.0%,0.3%,0.5%,0.0%,2.1%,1.3%,21.0%,30.1%,16.3%,13.2%,13.3%,5.2%,0.8%,"$49,009",15.3%,37.0%,21.1%,22.7%,4.0%
Illinois,Lee County,"33,818",3.3%,7.0%,88.7%,5.6%,0.3%,0.8%,0.0%,2.7%,2.0%,17.5%,23.1%,18.0%,15.0%,14.8%,9.0%,2.7%,"$63,109",11.1%,34.2%,25.8%,21.6%,7.3%
Illinois,Livingston County,"35,228",4.9%,5.0%,91.2%,3.8%,0.2%,1.1%,0.0%,1.7%,1.9%,20.8%,22.0%,17.9%,14.0%,17.0%,6.6%,1.8%,"$60,143",10.5%,43.1%,22.4%,18.2%,5.8%
Illinois,Macoupin County,"44,452",2.3%,1.5%,96.5%,1.0%,0.4%,0.4%,0.0%,0.4%,1.3%,19.3%,24.3%,16.9%,13.5%,16.6%,7.2%,2.2%,"$59,498",9.0%,38.6%,24.3%,22.0%,6.2%
Illinois,Marion County,"36,809",3.3%,2.5%,91.5%,4.3%,0.3%,0.7%,0.0%,0.7%,2.4%,23.5%,25.5%,18.6%,13.0%,13.2%,5.0%,1.1%,"$51,232",11.2%,35.2%,26.4%,22.1%,5.2%
Illinois,Massac County,"13,455",5.8%,3.4%,89.3%,5.8%,0.5%,0.7%,0.0%,0.8%,2.9%,26.8%,25.7%,17.4%,13.5%,11.5%,3.8%,1.3%,"$47,219",13.8%,34.2%,27.0%,21.6%,3.4%
Illinois,Menard County,"12,097",3.2%,1.9%,95.9%,1.0%,0.4%,0.4%,0.0%,0.7%,1.7%,13.4%,18.5%,16.5%,15.5%,19.8%,12.5%,3.8%,"$77,620",6.6%,36.7%,23.3%,26.7%,6.8%
Illinois,Montgomery County,"28,104",1.4%,1.9%,94.0%,3.6%,0.2%,0.5%,0.0%,0.6%,1.0%,23.7%,23.1%,19.3%,13.8%,13.1%,5.7%,1.4%,"$54,243",13.3%,39.9%,21.7%,19.1%,6.0%
Illinois,Moultrie County,"14,397",2.8%,1.9%,97.2%,0.6%,0.2%,0.4%,0.0%,0.4%,1.2%,14.5%,22.5%,19.6%,15.4%,17.4%,8.3%,2.3%,"$66,622",14.6%,33.2%,23.1%,21.9%,7.3%
Illinois,Piatt County,"16,292",5.1%,1.6%,96.8%,0.8%,0.2%,0.5%,0.0%,0.3%,1.5%,10.9%,24.3%,16.0%,16.9%,19.9%,9.1%,3.0%,"$73,244",6.3%,34.0%,20.1%,29.7%,9.7%
Illinois,Pope County,"4,135",2.2%,1.8%,91.4%,5.1%,0.8%,0.4%,0.1%,0.6%,1.6%,24.7%,28.7%,17.1%,12.8%,14.2%,2.2%,0.4%,"$46,500",13.7%,34.1%,30.5%,17.2%,4.5%
Illinois,Pulaski County,"5,198",1.2%,2.6%,64.2%,30.0%,0.7%,0.5%,0.1%,1.0%,3.6%,35.3%,27.5%,17.2%,8.2%,8.8%,2.7%,0.4%,"$36,379",14.3%,34.2%,29.4%,17.0%,5.2%
Illinois,Putnam County,"5,722",7.4%,6.6%,94.4%,0.8%,0.3%,0.7%,0.0%,2.1%,1.7%,13.1%,21.7%,17.4%,16.8%,19.0%,7.8%,4.1%,"$71,853",7.8%,38.5%,26.8%,21.6%,5.4%
Illinois,Richland County,"15,337",3.3%,2.1%,95.6%,0.9%,0.3%,0.9%,0.0%,0.7%,1.6%,22.9%,25.1%,18.3%,12.6%,13.6%,5.2%,2.3%,"$52,799",12.1%,29.9%,22.1%,29.3%,6.6%
Illinois,Stark County,"5,251",4.2%,2.5%,95.3%,0.9%,0.2%,0.6%,0.0%,0.8%,2.1%,21.5%,24.3%,19.7%,13.3%,11.5%,6.4%,3.3%,"$55,357",9.1%,39.7%,21.4%,23.6%,6.2%
Illinois,Union County,"16,423",5.5%,5.7%,93.2%,1.4%,0.7%,0.5%,0.0%,2.3%,1.9%,24.4%,23.1%,18.4%,13.0%,12.8%,6.6%,1.8%,"$53,397",12.3%,33.0%,23.3%,23.5%,8.0%
Illinois,Wabash County,"11,485",4.5%,3.5%,94.2%,1.0%,0.3%,1.4%,0.0%,1.2%,1.8%,22.9%,23.2%,18.6%,15.1%,13.7%,4.9%,1.6%,"$55,189",9.5%,30.7%,25.5%,28.8%,5.5%
Illinois,Warren County,"16,627",7.1%,10.3%,85.6%,2.8%,0.3%,3.1%,0.2%,5.5%,2.4%,18.6%,27.8%,16.8%,13.8%,13.8%,6.5%,2.7%,"$55,397",12.2%,32.8%,23.7%,24.4%,6.9%
Illinois,Washington County,"13,747",1.6%,1.6%,96.8%,1.0%,0.2%,0.5%,0.0%,0.5%,1.0%,14.4%,23.4%,18.2%,15.2%,17.6%,8.6%,2.7%,"$66,820",7.9%,33.6%,24.6%,27.0%,6.9%
Illinois,White County,"13,313",0.6%,1.7%,96.6%,0.8%,0.4%,0.5%,0.1%,0.3%,1.3%,23.9%,25.4%,20.5%,14.1%,9.8%,5.3%,1.0%,"$50,900",8.6%,38.3%,25.4%,22.3%,5.3%
Illinois,Whiteside County,"54,562",7.6%,12.7%,90.8%,1.6%,0.3%,0.5%,0.0%,4.0%,2.7%,16.7%,24.9%,19.5%,14.0%,15.0%,7.1%,2.8%,"$60,710",9.6%,37.1%,25.0%,21.6%,6.6%
Illinois,Will County,"691,710",12.5%,18.9%,71.8%,12.0%,0.3%,6.1%,0.0%,6.9%,2.8%,9.5%,14.6%,15.1%,14.0%,21.2%,17.5%,8.1%,"$94,234",9.1%,26.7%,21.8%,30.3%,12.1%
Indiana,Blackford County,"11,566",5.4%,2.1%,95.9%,0.8%,0.3%,0.4%,0.0%,0.7%,1.9%,19.7%,33.2%,18.8%,12.5%,10.8%,3.7%,1.3%,"$47,544",10.6%,48.0%,19.3%,15.7%,6.5%
Indiana,Brown County,"15,083",2.5%,2.0%,96.1%,0.6%,0.6%,0.5%,0.0%,0.5%,1.7%,14.8%,20.5%,17.8%,14.4%,20.0%,8.6%,3.7%,"$70,549",8.8%,32.5%,22.8%,23.6%,12.4%
Indiana,Dearborn County,"49,388",1.9%,1.6%,96.7%,0.7%,0.2%,0.5%,0.0%,0.5%,1.4%,15.5%,18.6%,16.9%,14.5%,19.8%,10.8%,3.8%,"$73,503",9.4%,40.1%,19.9%,23.4%,7.2%
Indiana,Dubois County,"42,847",6.8%,8.6%,92.6%,0.8%,0.2%,0.7%,0.0%,4.4%,1.3%,17.1%,21.0%,18.5%,15.3%,19.2%,6.7%,2.1%,"$66,004",10.0%,39.0%,15.3%,29.8%,5.9%
Indiana,Fayette County,"22,972",3.2%,1.6%,96.0%,1.4%,0.3%,0.4%,0.0%,0.5%,1.5%,24.6%,26.9%,16.9%,13.3%,13.8%,3.5%,1.1%,"$48,626",17.5%,42.9%,19.5%,16.3%,3.9%
Indiana,Fulton County,"19,849",6.5%,5.8%,93.3%,0.8%,0.6%,0.6%,0.0%,3.0%,1.7%,18.7%,25.2%,19.6%,15.5%,16.0%,4.2%,0.8%,"$57,755",12.7%,40.3%,24.4%,18.6%,4.1%
Indiana,Hamilton County,"348,592",4.5%,4.5%,84.8%,4.5%,0.2%,6.5%,0.0%,1.5%,2.5%,7.4%,12.7%,14.1%,13.2%,22.3%,18.2%,12.1%,"$105,177",3.1%,15.4%,15.7%,42.9%,22.9%
Indiana,Howard County,"82,578",3.9%,3.9%,86.1%,7.8%,0.4%,1.3%,0.0%,1.1%,3.2%,19.8%,21.6%,20.0%,13.2%,15.7%,7.4%,2.2%,"$60,778",11.4%,36.4%,21.9%,23.0%,7.4%
Indiana,LaGrange County,"39,950",3.9%,4.5%,95.5%,0.5%,0.2%,0.4%,0.0%,2.2%,1.1%,12.9%,20.7%,21.3%,16.2%,17.8%,8.7%,2.4%,"$69,250",36.4%,32.3%,15.2%,13.6%,2.6%
Indiana,Martin County,"10,263",0.9%,1.3%,97.3%,0.3%,0.4%,0.4%,0.0%,0.4%,1.2%,21.8%,22.7%,20.2%,14.1%,15.3%,4.6%,1.3%,"$56,787",14.5%,43.0%,17.0%,20.9%,4.6%
Indiana,Monroe County,"149,895",3.7%,3.8%,84.4%,3.6%,0.3%,7.5%,0.1%,1.2%,3.0%,26.4%,23.2%,16.2%,11.4%,13.3%,7.2%,2.4%,"$50,575",6.8%,21.0%,17.2%,32.7%,22.4%
Indiana,Montgomery County,"38,360",4.6%,5.3%,93.9%,1.0%,0.4%,0.9%,0.0%,2.1%,1.6%,16.9%,27.0%,20.2%,14.4%,14.1%,5.8%,1.6%,"$57,549",10.5%,41.2%,22.2%,20.6%,5.5%
Indiana,Morgan County,"70,807",2.4%,1.8%,96.6%,0.6%,0.3%,0.7%,0.0%,0.5%,1.4%,14.0%,19.2%,18.8%,16.9%,19.7%,9.0%,2.4%,"$72,408",12.7%,37.8%,21.0%,21.8%,6.7%
Indiana,Steuben County,"34,670",3.7%,4.1%,95.4%,0.8%,0.3%,0.7%,0.1%,1.3%,1.4%,12.8%,25.0%,20.9%,15.0%,16.3%,8.0%,2.0%,"$64,562",9.9%,38.2%,21.4%,23.1%,7.4%
Indiana,Wabash County,"30,675",3.1%,2.9%,95.5%,0.8%,0.7%,0.6%,0.0%,1.0%,1.5%,19.7%,24.6%,22.2%,15.7%,12.4%,4.0%,1.2%,"$56,299",11.7%,42.4%,18.8%,19.3%,7.8%
Indiana,White County,"24,027",9.7%,9.4%,91.6%,0.6%,0.5%,0.6%,0.0%,5.0%,1.9%,14.1%,26.9%,20.7%,15.5%,14.6%,6.3%,1.9%,"$60,879",11.4%,41.3%,21.1%,20.3%,5.9%
Iowa,Appanoose County,"12,384",2.7%,2.5%,95.8%,0.9%,0.3%,0.8%,0.0%,0.5%,1.7%,27.4%,27.5%,17.9%,11.6%,9.6%,3.5%,2.5%,"$45,281",9.1%,37.1%,25.3%,23.6%,4.9%
Iowa,Boone County,"26,166",5.3%,3.1%,95.4%,1.3%,0.4%,0.6%,0.0%,0.9%,1.4%,13.5%,22.4%,19.9%,15.5%,17.5%,8.6%,2.6%,"$67,726",5.8%,32.4%,23.2%,31.9%,6.8%
Iowa,Calhoun County,"9,600",2.3%,1.9%,97.3%,0.4%,0.3%,0.3%,0.0%,0.4%,1.3%,22.3%,24.4%,19.9%,13.6%,12.2%,5.2%,2.3%,"$54,023",5.9%,36.5%,24.7%,26.3%,6.5%
Iowa,Carroll County,"20,066",4.8%,2.9%,95.0%,1.4%,0.3%,0.5%,0.0%,1.6%,1.3%,18.5%,23.3%,14.6%,15.1%,17.2%,8.9%,2.4%,"$64,119",6.3%,36.4%,21.1%,30.5%,5.6%
Iowa,Cass County,"12,648",4.7%,3.1%,96.0%,0.5%,0.2%,0.4%,0.5%,1.1%,1.3%,23.2%,23.9%,19.4%,13.9%,13.1%,4.9%,1.5%,"$53,768",11.8%,38.0%,20.7%,23.8%,5.7%
Iowa,Clarke County,"9,402",13.0%,15.9%,89.3%,1.3%,0.6%,0.9%,0.2%,5.7%,1.9%,19.1%,21.4%,22.3%,13.0%,15.3%,7.3%,1.6%,"$60,680",11.0%,41.4%,20.3%,23.1%,4.2%
Iowa,Crawford County,"16,668",23.7%,30.4%,73.9%,4.1%,0.5%,2.6%,0.1%,16.6%,2.1%,19.8%,22.9%,17.7%,14.2%,17.8%,5.3%,2.3%,"$60,340",22.2%,36.1%,20.4%,17.9%,3.4%
Iowa,Delaware County,"16,881",3.5%,1.9%,97.0%,1.1%,0.2%,0.4%,0.0%,0.3%,1.0%,15.2%,20.8%,19.9%,16.2%,17.6%,8.5%,1.8%,"$67,535",8.5%,43.2%,18.7%,24.7%,4.8%
Iowa,Dickinson County,"17,354",4.9%,2.5%,96.7%,0.5%,0.2%,0.9%,0.0%,0.5%,1.2%,13.8%,24.5%,18.2%,13.2%,16.3%,9.4%,4.7%,"$66,068",4.2%,28.1%,23.0%,36.2%,8.6%
Iowa,Dubuque County,"97,638",3.8%,2.8%,91.5%,3.7%,0.3%,1.4%,0.5%,0.8%,1.9%,18.3%,20.6%,19.4%,15.4%,16.0%,6.9%,3.4%,"$64,270",7.6%,33.6%,18.9%,28.5%,11.3%
Iowa,Harrison County,"13,967",1.7%,2.1%,96.8%,0.5%,0.3%,0.4%,0.0%,0.4%,1.6%,18.3%,19.7%,20.0%,16.3%,15.8%,8.2%,1.8%,"$65,053",8.2%,38.0%,23.7%,25.0%,5.0%
Iowa,Iowa County,"16,167",1.8%,3.6%,95.9%,0.7%,0.3%,0.5%,0.0%,1.0%,1.5%,15.0%,21.0%,20.7%,14.0%,17.6%,9.2%,2.5%,"$66,917",6.2%,37.8%,23.2%,27.3%,5.6%
Iowa,Jasper County,"37,279",4.6%,2.9%,94.2%,2.5%,0.3%,0.7%,0.1%,0.7%,1.5%,17.4%,23.4%,19.9%,14.6%,17.0%,6.0%,1.7%,"$61,604",6.3%,42.6%,21.8%,25.0%,4.4%
Iowa,Mahaska County,"22,031",5.2%,2.8%,93.4%,1.8%,0.4%,1.7%,0.1%,1.0%,1.5%,22.4%,20.6%,21.0%,12.8%,16.5%,5.2%,1.6%,"$58,347",8.8%,38.9%,20.6%,25.0%,6.8%
Iowa,Poweshiek County,"18,508",4.4%,3.9%,92.3%,1.7%,0.4%,2.2%,0.2%,1.2%,2.0%,18.7%,21.7%,18.7%,13.1%,16.1%,7.6%,4.2%,"$62,820",7.0%,37.6%,20.6%,24.1%,10.7%
Iowa,Shelby County,"11,331",5.4%,3.6%,95.7%,1.0%,0.5%,0.6%,0.0%,1.0%,1.2%,18.1%,23.7%,17.2%,14.7%,16.3%,6.7%,3.3%,"$61,988",8.1%,36.1%,22.3%,28.2%,5.3%
Iowa,Story County,"97,659",4.3%,3.9%,84.2%,2.9%,0.2%,9.2%,0.0%,1.3%,2.2%,24.6%,19.3%,17.8%,11.6%,16.3%,7.2%,3.2%,"$58,576",2.7%,16.8%,16.9%,41.7%,21.9%
Iowa,Washington County,"21,910",6.0%,7.1%,93.8%,1.2%,0.3%,0.7%,0.1%,1.9%,2.1%,12.5%,24.1%,17.6%,14.9%,19.8%,8.5%,2.5%,"$68,975",8.7%,39.4%,19.1%,26.5%,6.3%
Iowa,Winneshiek County,"19,798",4.8%,2.4%,95.8%,0.9%,0.1%,1.1%,0.0%,1.0%,1.0%,16.1%,17.7%,20.2%,17.3%,17.8%,7.9%,3.0%,"$70,041",5.3%,32.8%,17.1%,32.8%,12.0%
Kansas,Barber County,"4,319",3.4%,5.0%,92.8%,1.0%,1.4%,0.5%,0.0%,1.9%,2.4%,27.5%,22.2%,22.0%,10.0%,12.0%,4.3%,1.9%,"$50,293",8.4%,34.7%,28.4%,20.8%,7.7%
Kansas,Cloud County,"8,671",5.8%,3.4%,93.5%,0.9%,0.7%,1.7%,0.0%,1.3%,2.0%,21.0%,32.4%,20.1%,10.5%,11.4%,3.5%,1.1%,"$47,418",8.3%,30.3%,25.3%,27.4%,8.6%
Kansas,Coffey County,"8,113",2.2%,3.2%,94.3%,0.9%,1.0%,1.2%,0.0%,0.5%,2.1%,19.9%,21.7%,17.3%,14.3%,18.1%,7.0%,1.8%,"$62,156",6.6%,33.2%,28.3%,25.9%,6.0%
Kansas,Comanche County,"1,648",3.9%,9.7%,92.5%,0.4%,0.8%,0.3%,0.2%,3.3%,2.5%,16.4%,24.6%,18.4%,14.7%,16.3%,7.8%,1.7%,"$62,115",6.9%,32.7%,31.7%,24.9%,3.8%
Kansas,Douglas County,"123,898",4.8%,7.0%,80.8%,4.7%,2.5%,5.3%,0.1%,1.8%,4.8%,21.4%,20.7%,17.5%,11.8%,16.2%,9.2%,3.2%,"$61,303",3.7%,16.1%,19.4%,33.5%,27.4%
Kansas,Edwards County,"2,749",17.4%,21.6%,86.7%,1.4%,1.7%,0.3%,0.0%,7.8%,2.1%,22.0%,30.4%,20.4%,14.1%,8.3%,3.5%,1.3%,"$48,037",15.4%,27.2%,31.6%,21.3%,4.5%
Kansas,Elk County,"2,512",4.4%,5.3%,91.7%,0.0%,2.3%,0.6%,0.0%,1.3%,4.1%,31.5%,29.3%,22.1%,9.5%,5.0%,0.3%,2.4%,"$39,931",13.0%,40.2%,21.8%,17.1%,7.8%
Kansas,Franklin County,"25,489",3.3%,4.7%,92.9%,1.3%,0.9%,0.5%,0.0%,1.3%,3.0%,15.3%,25.8%,19.2%,15.1%,16.9%,5.9%,1.8%,"$61,613",7.3%,38.9%,24.6%,22.9%,6.3%
Kansas,Gray County,"5,959",14.8%,17.4%,91.2%,0.8%,0.5%,0.5%,0.0%,5.2%,1.8%,11.7%,21.1%,28.8%,13.9%,17.3%,5.3%,2.1%,"$64,980",22.3%,22.3%,21.3%,28.7%,5.4%
Kansas,Harvey County,"34,394",7.8%,12.8%,89.5%,1.9%,0.8%,1.1%,0.0%,3.7%,3.0%,17.3%,23.4%,21.9%,13.6%,15.0%,7.5%,1.3%,"$60,552",8.8%,26.3%,25.4%,27.4%,12.2%
Kansas,Kiowa County,"2,457",4.2%,7.4%,91.7%,1.5%,0.7%,1.5%,0.1%,2.1%,2.2%,17.4%,26.9%,20.9%,12.9%,14.7%,6.3%,0.9%,"$56,813",10.3%,27.8%,25.2%,28.3%,8.4%
Kansas,Labette County,"19,252",2.9%,5.0%,88.3%,3.9%,2.3%,0.5%,0.0%,0.9%,4.1%,22.7%,25.7%,21.4%,12.8%,12.0%,3.6%,1.8%,"$51,869",11.7%,32.6%,26.5%,23.1%,6.1%
Kansas,Marion County,"11,792",3.7%,4.6%,93.9%,1.2%,0.8%,0.5%,0.1%,1.3%,2.3%,20.2%,27.0%,20.7%,15.5%,12.6%,2.9%,1.2%,"$53,453",9.0%,30.9%,27.0%,25.6%,7.6%
Kansas,Marshall County,"9,656",3.0%,3.0%,95.6%,0.5%,0.7%,0.5%,0.0%,0.8%,2.0%,21.1%,27.5%,20.9%,13.2%,12.2%,3.1%,2.0%,"$51,641",7.1%,43.1%,20.7%,23.0%,6.1%
Kansas,Nemaha County,"10,288",1.5%,2.9%,95.6%,0.7%,0.6%,0.4%,0.1%,1.1%,1.5%,17.9%,21.4%,17.7%,15.6%,18.0%,6.6%,2.8%,"$65,090",6.5%,38.8%,20.2%,27.4%,7.2%
Kansas,Neosho County,"15,922",3.9%,5.6%,92.5%,1.3%,1.2%,0.6%,0.1%,1.5%,2.7%,27.0%,24.8%,20.5%,12.4%,8.9%,4.4%,1.8%,"$48,030",8.2%,31.4%,28.5%,23.4%,8.5%
Kansas,Norton County,"5,301",5.2%,5.9%,92.5%,3.4%,0.4%,0.8%,0.0%,0.8%,2.1%,21.9%,27.7%,21.3%,12.9%,12.3%,2.6%,1.4%,"$50,407",10.4%,36.5%,27.6%,21.8%,3.7%
Kansas,Phillips County,"5,159",5.1%,4.1%,95.4%,0.4%,0.6%,0.9%,0.0%,0.8%,1.7%,19.6%,31.9%,19.1%,12.8%,12.2%,3.7%,0.7%,"$48,841",7.4%,36.0%,23.2%,26.4%,7.0%
Kansas,Woodson County,"3,112",2.4%,3.5%,93.1%,0.6%,1.9%,0.1%,0.0%,1.6%,2.6%,36.2%,26.1%,20.3%,8.5%,6.6%,1.8%,0.5%,"$35,868",11.8%,36.2%,27.0%,21.6%,3.4%
Kentucky,Boone County,"135,689",4.4%,4.7%,88.8%,3.7%,0.2%,2.7%,0.2%,1.9%,2.5%,8.2%,18.2%,17.1%,14.9%,20.4%,15.4%,5.7%,"$85,863",6.6%,29.1%,24.1%,28.5%,11.7%
Kentucky,Bourbon County,"19,635",8.6%,7.4%,87.2%,5.7%,0.3%,0.5%,0.0%,3.8%,2.4%,20.2%,24.5%,14.9%,14.0%,17.3%,6.9%,2.1%,"$58,780",14.5%,37.4%,22.2%,18.6%,7.4%
Kentucky,Breckinridge County,"20,625",1.7%,2.1%,94.3%,2.1%,0.5%,0.4%,0.0%,1.0%,1.7%,23.9%,24.0%,18.5%,14.2%,13.2%,5.2%,1.2%,"$52,890",17.3%,44.7%,19.0%,14.2%,4.9%
Kentucky,Bullitt County,"82,785",3.2%,2.4%,94.9%,1.3%,0.3%,0.6%,0.1%,0.8%,1.9%,15.7%,22.0%,19.1%,14.5%,18.1%,9.1%,1.5%,"$66,171",10.3%,40.9%,24.1%,19.0%,5.7%
Kentucky,Butler County,"12,941",4.6%,3.9%,95.3%,0.6%,0.4%,0.3%,0.0%,2.0%,1.5%,25.9%,26.8%,16.8%,11.3%,13.1%,5.0%,1.1%,"$47,189",21.3%,43.0%,14.7%,15.2%,5.9%
Kentucky,Carroll County,"10,577",1.9%,6.7%,91.4%,1.7%,0.4%,0.5%,0.0%,3.0%,2.9%,32.0%,24.5%,12.7%,12.2%,9.1%,6.8%,2.7%,"$42,799",21.5%,42.3%,20.6%,13.0%,2.7%
Kentucky,Carter County,"26,556",1.7%,1.5%,97.0%,0.7%,0.2%,0.3%,0.0%,0.5%,1.2%,38.4%,26.1%,14.9%,8.9%,9.0%,2.4%,0.3%,"$34,605",21.3%,40.3%,19.5%,13.9%,5.1%
Kentucky,Edmonson County,"12,136",1.4%,1.6%,95.0%,2.1%,0.4%,0.5%,0.0%,0.6%,1.4%,26.9%,27.3%,20.2%,9.4%,12.1%,3.3%,0.8%,"$45,747",20.2%,42.2%,19.0%,13.7%,4.8%
Kentucky,Estill County,"14,009",2.0%,1.5%,97.3%,0.5%,0.3%,0.1%,0.0%,0.4%,1.4%,40.6%,24.2%,14.8%,9.7%,7.3%,2.3%,1.0%,"$34,275",24.7%,45.7%,15.1%,11.2%,3.3%
Kentucky,Floyd County,"34,907",1.9%,0.9%,97.0%,1.2%,0.2%,0.4%,0.0%,0.4%,0.9%,40.9%,26.8%,14.5%,8.5%,7.2%,1.4%,0.8%,"$32,555",25.4%,36.1%,21.0%,12.0%,5.5%
Kentucky,Grant County,"25,138",1.8%,3.0%,95.5%,0.9%,0.2%,0.5%,0.2%,1.3%,1.4%,23.6%,25.2%,16.3%,11.8%,15.6%,6.3%,1.2%,"$51,894",13.1%,48.8%,16.5%,16.4%,5.3%
Kentucky,Greenup County,"34,745",2.0%,1.3%,96.5%,0.8%,0.4%,0.6%,0.0%,0.3%,1.3%,21.7%,24.2%,19.5%,10.4%,14.1%,7.5%,2.5%,"$55,186",11.3%,36.9%,24.3%,20.2%,7.3%
Kentucky,Henry County,"16,267",3.1%,3.4%,92.0%,3.0%,0.3%,0.4%,0.1%,1.6%,2.6%,20.3%,22.8%,21.6%,12.9%,14.3%,6.8%,1.2%,"$57,879",15.4%,42.2%,22.7%,14.9%,4.8%
Kentucky,Kenton County,"167,986",3.4%,3.8%,89.3%,4.8%,0.2%,1.4%,0.1%,1.6%,2.6%,14.9%,19.9%,17.8%,14.2%,18.5%,9.8%,5.0%,"$71,338",9.2%,27.2%,21.8%,29.3%,12.5%
Kentucky,Leslie County,"9,580",1.2%,1.1%,97.6%,0.4%,0.2%,0.3%,0.1%,0.2%,1.1%,42.1%,27.3%,15.5%,8.7%,4.4%,1.8%,0.3%,"$32,380",28.9%,38.9%,15.4%,13.4%,3.4%
Kentucky,Lewis County,"13,166",1.3%,0.9%,98.3%,0.4%,0.3%,0.0%,0.0%,0.1%,0.9%,39.9%,21.4%,14.8%,9.7%,8.6%,4.9%,0.7%,"$34,386",25.6%,40.5%,15.5%,12.9%,5.5%
Kentucky,McCracken County,"65,426",2.8%,2.9%,84.4%,10.7%,0.3%,1.0%,0.1%,1.0%,2.5%,29.0%,24.3%,17.8%,10.9%,9.9%,5.1%,3.0%,"$46,439",7.6%,30.4%,23.7%,28.3%,10.1%
Kentucky,McCreary County,"17,053",4.7%,2.9%,90.3%,5.5%,0.7%,0.4%,0.0%,1.0%,2.0%,48.2%,26.3%,12.3%,6.3%,5.0%,1.3%,0.6%,"$26,233",24.7%,43.0%,17.1%,12.8%,2.5%
